company,any_continuity,grouping
Discover Financial Services,,
Discovery,yes,
Discovery Communications,yes,
DISH Network,,
Disney,yes,101
Diversified Industries,,
Dixie Yarns,,
Dole,yes,
Dole Food,yes,
Dollar General,,
Dollar Tree,,
Dominion Energy,yes,
Dominion Resources,yes,
Domino Sugar,,
Domtar,,
Dorchester Gas,,
Dorr-Oliver,,
Dorsey,,
Douglas Aircraft,,
Dover,,
Dow Chemical,,
Dow Corning,,
Dow Jones,,
DowDuPont,,
DR Holdings Inc. of Delaware,,
Dr Pepper Snapple Group,yes,
Dr Pepper/Seven-Up,yes,
Draper,,
Dresser Industries,,
Dresser-Rand,,
DSC Communications,,
DTE Energy,,
Du Mont (Allen B.) Labs.,,
Du Pont Merck Pharmaceutical,,
Duke Energy,,
Duncan Foods,,
DuPont,yes,58
DuPont de Nemours,yes,58
Duracell International,,
DXC Technology,,
Dynegy,,
E-SYSTEMS,,
E.T. Barwick Industries,,
E.W. Scripps,,
Eagle-Picher Industries,,
Easco,,
Eastern Gas & Fuel Associates,,
Eastern States Farmers' Exch.,,
Eastman Chemical,,
Eastman Kodak,,
Eaton,,
eBay,,
Echlin,,
Echostar Communications,,
Eckerd,,
Ecolab,,
Edison International,,
Ekco Products,,
El Paso,,
Electric Autolite,,
Electrolux,,
Electronic Arts,,
Electronic Data Systems,,
Elgin National Watch,,
Eli Lilly,,
Eltra,,
Embarq,,
EMC,,
Emcor Group,yes,59
EMCOR Group,yes,59
Emerson Electric,yes,
Emerson Radio & Phonograph,yes,
Emhart,,
Enbridge Energy Partners,,
Encompass Services,,
Endicott Johnson,,
Energy East,,
Energy Future Holdings,,
Energy Transfer,yes,
Energy Transfer Equity,yes,
Energy Transfer Partners,yes,
Engelhard,yes,
Engelhard Industries,yes,
EnLink Midstream,,
Enron,,
Entergy,,
Enterprise GP Holdings,,
Enterprise Products,,
Enterprise Products Partners,,
Envirodyne Industries,,
Envirotech,,
Envision Healthcare,,
Envision Healthcare Holdings,,
EOG Resources,,
Equity Office Properties,,
Erie Insurance Group,,
Erwin Mills,,
ESB,,
Esmark,,
Esselte Business Systems,,
Essendant,,
Essex Group,yes,
Essex International,yes,
Estee Lauder,yes,64
Estée Lauder,yes,64
Est�e Lauder,yes,64
Ethyl,,
Evans Products,,
Eversource Energy,,
Ex-Cell-O,,
Exelis,,
Exelon,,
Exide Technologies,,
Expedia,yes,
Expedia Group,yes,
Expeditors International of Washington,yes,66
Expeditors Intl. of Washington,yes,66
Express Scripts,yes,
Express Scripts Holding,yes,
Exxon Mobil,,
F. & M. Schaefer,,
Faberge,,
Facebook,,
"Fairbanks, Morse",,
Fairchild,yes,
Fairchild Camera & Instrument,yes,
Fairchild Engine & Airplane,yes,
Fairchild Industries,yes,
Fairmont Foods,,
Falstaff Brewing,,
Family Dollar Stores,,
Fannie Mae,,
Farmers Insurance Exchange,,
Farmers Union Central Exch.,yes,68
Farmers Union Central Exchange,yes,68
Farmland Industries,,
Fedders,,
Federal Pacific Electric,,
Federal Paper Board,,
Federal-Mogul,,
Federated Dept. Stores,,
FedEx,,
Ferro,,
FHP International,,
Fiat-Allis,,
Fibreboard,,
Fidelity National Financial,,
Fidelity National Information Services,,
Fieldcrest Cannon,,
Fifth Third Bancorp,,
Figgie International,,
FINA,,
Finevest Foods,,
Firestone Tire & Rubber,,
First American Corp.,,
First American Financial,,
First Brands,,
First Chicago Corp.,,
First Chicago NBD Corp.,,
First City Industries,,
First Data,,
First Fidelity Bancorp.,,
First Interstate Bancorp,,
First Mississippi,,
FirstEnergy,,
Fiserv,,
Fisher Scientific Group,yes,69
Fisher Scientific Intl.,yes,69
Fisher-Price,,
Flavorland Industries,,
FleetBoston Financial,,
Fleetwood Enterprises,,
Fleming,,
Flintkote,,
Florida Progress,,
Flour Mills of America,,
Flowers Industries,,
Flowserve,,
Fluor,,
FMC,yes,
FMC Technologies,yes,
Foamex International,,
Food 4 Less,,
Foodbrands America,,
Foot Locker,,
Ford Motor,,
Foremost Dairies,,
Fort Howard,,
Fort James,,
Fortive,,
Fortune Brands,,
Foster Wheeler,,
Foundation Health,yes,71
Foundation Health Systems,yes,71
Foxboro,,
FPL Group,,
Franklin Resources,,
Fred Meyer,,
Freddie Mac,,
Frederick & Herrud,,
Freeport Sulphur,,
Freeport-McMoran,yes,72
Freeport-McMoRan,yes,72
Freeport-McMoRan Copper & Gold,yes,103
Freeport-McMoRan Cpr. & Gld,yes,103
Freescale Semiconductor,,
Friden,,
Frito-Lay,,
Frontier Communications,,
Frontier Oil,,
Fruehauf,,
Fruit of the Loom,,
Fuller (W.P.),,
Fuller Brush,,
Furniture Brands Intl.,,
G. Heileman Brewing,,
G.D. Searle,,
GAF,,
Gair (Robert),,
GameStop,,
Gannett,,
Gap,,
Gardner-Denver,,
Garrett,,
Gates Learjet,,
Gateway,,
GATX,,
Gaylord Container,,
GEICO,,
GenAmerica,,
GenCorp,,
General American Transportation,,
General Cable,,
General Cinema,,
General Dynamics,,
General Electric,,
General Foods,,
General Host,,
General Infractories,,
General Instrument,,
General Mills,,
General Motors,,
General Precision Equipment,,
General Re,,
General Refractories,,
General Signal,,
General Steel Industries,,
General Telephone & Electronics,,
Genesco,,
Genesis Healthcare,,
Genuine Parts,,
Genworth Financial,,
Genzyme,,
Georgia Gulf,,
Georgia Kraft,,
Georgia-Pacific,,
Geosource,,
Gerber Products,,
Getty Oil,,
Giant Food,,
Giddings & Lewis,,
Gifford-Hill,,
Gilead Sciences,,
Gilfillan Bros.,,
Gillette,,
Gitano Group,,
GK Technologies,,
Glen Alden,,
Glidden,,
Global Partners,,
Globe-Union,,
GMAC,,
Godchaux Sugars,,
Gold Kist Holdings,,
Golden State Bancorp,,
Golden West Financial,,
Goldman Sachs Group,,
Goodall-Sanford,,
Goodrich,,
Goodyear Tire & Rubber,,
Google,,
Gould,yes,
Gould-National Batteries,yes,
Goulds Pumps,,
GPU,,
Grand Union Holdings,,
Granite City Steel,,
Graniteville Co.,,
Graphic Packaging Holding,,
Graybar Electric,,
Great American Mgmt. & Inv.,,
Great Atlantic & Pacific Tea,,
Great Lakes Chemical,,
Great Northern Nekoosa,,
Great Northern Paper,,
Great Western Financial Corp.,,
Great Western Sugar,,
Great Western United,,
Green Giant,,
Greyhound,,
Grinnell,,
Grolier,,
Grolier Society,,
Group 1 Automotive,,
Grow Group,,
Grumman,,
GTE,,
Guardian Industries,,
Guardian Life Ins. Co. of America,yes,74
Guardian Life of America,yes,74
Guidant,,
Guilford Mills,,
Gulf & Western Industries,,
Gulf Oil,,
Gulf Resources & Chemical,,
Gulfstream Aerospace,,
H.B. Fuller,,
H.F. Ahmanson,,
H.J. Heinz,,
H.K. Porter,,
H.P. Hood,,
H&R Block,,
Halliburton,,
Hammermill Paper,,
Handy & Harman,,
Hanes,,
Hanesbrands,,
Hanna Mining,,
Hannaford Bros.,,
Hanson Industries NA,,
Harbinger Group,,
Harbison-Walker Refractories,,
Harcourt Brace Jovanovich,,
Harcourt General,,
Harley-Davidson,,
Harman International Industries,,
Harman Intl. Industries,,
Harrah's Entertainment,,
Harris,,
Harris Graphics,,
Harsco,,
Harshaw Chemical,,
Harte-Hanks Communications,,
Hartford Financial Services,yes,
Hartford Financial Services Group,yes,
Hartmarx,,
Harvard Industries,,
Harvey Aluminum,,
Hasbro,,
Hazel-Atlas Glass,,
HCA,yes,
HCA Healthcare,yes,
HCA Holdings,yes,
HD Supply,yes,
HD Supply Holdings,yes,
Health Management Associates,,
Health Net,,
HealthSouth,,
HealthTrust,,
Hearst Consolidated Publications,,
Hechinger,,
Helene Curtis Industries,,
Henley Group,,
Henley Manufacturing,,
Henry Schein,,
Hercules,,
Herman Miller,,
Hershey,,
Hershey Foods,,
Hertz Global Holdings,,
Hess,yes,
Hess Oil & Chemical,yes,
Heublein,,
Hewlett Packard Enterprise,yes,79
Hewlett-Packard,yes,79
Hexion Specialty Chemicals,,
Hillenbrand Industries,,
Hillshire Brands,,
Hilton Hotels,yes,
Hilton Worldwide Holdings,yes,
Himont,,
Hines (Edward) Lumber,,
HNI,,
Hobart,,
Hoechst Celanese,,
Hoerner Waldorf,,
Holly,,
Holly Sugar,,
HollyFrontier,,
Holnam,,
Home Depot,,
"HomeBase, Inc.",,
Homestake Mining,,
Honeywell,yes,
Honeywell International,yes,81
Honeywell Intl.,yes,81
Hooker Chemical,,
Hoover,yes,
Hoover Universal,yes,
Hormel Foods,,
Horsehead Industries,,
Host Hotels & Resorts,,
Host Marriott,,
Houdaille Industries,,
Household International,,
Household Manufacturing,,
Hovnanian Enterprises,,
Howmet,,
HP,,
HRG Group,,
Hubbell,,
Hudson Foods,,
Hudson Pulp & Paper,,
Huffy,,
Hughes Supply,,
Hughes Tool,,
Humana,,
Hunt International Resources,,
Huntington Ingalls Industries,,
Huntsman,,
Hupp,,
Hygrade Food Products,,
Hyster,,
I-T-E Imperial,,
IAC/Interactive,yes,83
IAC/InterActiveCorp,yes,83
IBM,,
IBP,,
Icahn Enterprises,,
Idacorp,,
Ideal Basic Industries,,
Idle Wild Foods,,
iHeartMedia,,
Ikon Office Solutions,,
Illinois Tool Works,,
IMC Global,,
Imcera Group,,
Imo Industries,,
Imperial Sugar,,
InaCom,,
Indian Head,,
Industrial Rayon,,
Ingersoll-Rand,,
Ingram Micro,,
Ingredion,,
Inland Container,,
Inmont,,
Insight Enterprises,,
Insilco,,
Inspiration Resources,,
Instrument Systems,,
Integrated Health Services,,
Integrys Energy Group,,
Intel,,
Intelligent Electronics,,
Intercontinental Exchange,,
Interface,,
Intergraph,,
Interim Services,,
Interlake,yes,
Interlake Iron,yes,
International Assets Holding,,
International Business Machines,yes,84
International Cellucotton Products,,
International Controls,,
International Foodservice Systems,,
International Packers,,
International Paper,,
International Pipe & Ceramics,,
International Silver,,
International Steel Group,,
International Systems & Controls,,
International Utilities,,
Interpace,,
Interpublic Group,,
Interstate Bakeries,,
Interstate Brands,,
INTL FCStone,,
Intl. Business Machines,yes,84
Intl. Flavors & Frag.,,
Intl. Multifoods,,
Intuit,,
Iowa Beef Processors,,
IPL,,
IQVIA Holdings,,
Island Creek Coal,,
Itek,,
ITT,yes,
ITT Industries,yes,
ITT Rayonier,,
Ivax,,
J.B. Hunt Transport Services,,
J.C. Penney,,
J.E. Seagram,,
J.M. Huber,,
J.M. Smucker,,
J.P. Industries,,
J.P. Morgan,yes,
J.P. Morgan Chase,yes,85
J.P. Morgan Chase & Co.,yes,
J.P. Stevens,,
J&L Specialty Steel,,
Jabil,yes,
Jabil Circuit,yes,
Jacobs Engineering Group,yes,86
Jacobs Engineering Grp.,yes,86
Jacuzzi Brands,,
Jarden,,
JDS Uniphase,,
Jefferies Financial Group,,
Jefferson-Pilot,,
Jepson,,
JetBlue Airways,,
John Hancock Financial Svcs.,,
Johnson & Johnson,,
Johnson Controls,,
Johnson Service,,
Jonathan Logan,,
Jones & Laughlin Steel,,
Jones Apparel Group,,
Jones Financial,yes,
Jones Financial (Edward Jones),yes,
Jones Lang LaSalle,,
Jos. Schlitz Brewing,,
Joslyn Manufacturing & Supply,,
Jostens,,
Joy Global,,
Joy Technologies,,
JP Morgan Chase,yes,85
JPMorgan Chase,yes,85
JPS Textile Group,,
Kaiser Industries,,
Kaiser Steel,,
Kaisertech,,
Kaman,,
Kane-Miller,,
Katy Industries,,
Kayser (Julius),,
Kayser-Roth,,
KB Home,,
KBR,,
Keebler,,
Kellogg,,
Kellwood,,
Kelly Services,,
Kelsey-Hayes,,
Kendall,yes,
Kendall International,yes,
Kennametal,,
Kennecott,,
Kenner Parker Toys,,
Kern County Land,,
Kerr Glass Manufacturing,,
Kerr-McGee,,
Keurig Dr Pepper,,
Kewanee Industries,,
KeyCorp,,
KeySpan,,
